,boardSize,solveTime
209,21,0.010658025741577148
210,22,0.01067495346069336
211,22,0.01111912727355957
212,22,0.015123844146728516
213,22,0.014467954635620117
214,22,0.014939069747924805
215,22,0.01071619987487793
216,22,0.010814905166625977
217,22,0.011099100112915039
218,22,0.010541915893554688
219,22,0.012463808059692383
220,23,0.014598846435546875
221,23,0.011141777038574219
222,23,0.01147603988647461
223,23,0.013480186462402344
224,23,0.011001110076904297
225,23,0.011202096939086914
226,23,0.015055179595947266
227,23,0.01272726058959961
228,23,0.012022972106933594
229,23,0.011486291885375977
230,24,0.013253211975097656
231,24,0.011875152587890625
232,24,0.011631250381469727
233,24,0.011555910110473633
234,24,0.011732101440429688
235,24,0.011503934860229492
236,24,0.013254880905151367
237,24,0.012751102447509766
238,24,0.011574983596801758
239,24,0.012153148651123047
