,boardSize,conflicts,success,steps
131,14,"[70, 64, 58, 58, 54, 48, 44, 44, 38, 38, 32, 32, 28, 28, 26, 24, 18, 18, 16, 12, 12, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 74, 72, 66, 64, 60, 56, 48, 42, 36, 30, 30, 24, 22, 20, 20, 14, 12, 6, 0]",True,64
132,14,"[76, 72, 68, 62, 58, 52, 48, 48, 36, 36, 30, 24, 18, 18, 18, 12, 6, 0]",True,18
133,14,"[76, 70, 64, 58, 54, 44, 38, 34, 28, 22, 16, 12, 12, 6, 0]",True,15
134,14,"[74, 70, 64, 60, 56, 48, 44, 38, 38, 32, 26, 18, 12, 6, 6, 6, 0]",True,17
135,14,"[68, 62, 58, 54, 48, 42, 36, 32, 32, 28, 24, 20, 18, 18, 12, 6, 6, 6, 6, 0]",True,20
136,14,"[76, 70, 68, 60, 56, 50, 44, 44, 38, 34, 28, 28, 22, 22, 22, 16, 10, 6, 0]",True,19
137,14,"[56, 52, 46, 40, 40, 34, 30, 24, 18, 14, 12, 6, 0]",True,13
138,14,"[78, 72, 68, 62, 54, 48, 40, 34, 32, 32, 28, 26, 24, 24, 18, 18, 18, 18, 12, 12, 12, 6, 0]",True,23
139,14,"[78, 70, 66, 60, 54, 52, 48, 44, 42, 36, 30, 24, 18, 12, 6, 0]",True,16
140,15,"[74, 74, 72, 66, 60, 60, 54, 50, 42, 42, 36, 26, 24, 18, 14, 10, 10, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 66, 58, 54, 46, 40, 36, 36, 30, 30, 26, 26, 20, 20, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 72, 70, 64, 58, 50, 46, 40, 34, 28, 22, 16, 10, 6, 6, 0]",True,103
141,15,"[64, 60, 56, 50, 46, 46, 40, 34, 30, 26, 20, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 0]",True,26
142,15,"[72, 68, 64, 64, 58, 52, 46, 40, 40, 34, 34, 26, 22, 22, 16, 16, 16, 16, 12, 12, 12, 12, 12, 12, 10, 10, 10, 6, 0]",True,29
143,15,"[64, 58, 54, 54, 48, 48, 42, 36, 32, 30, 26, 20, 18, 16, 10, 6, 0]",True,17
144,15,"[76, 70, 62, 56, 50, 42, 36, 30, 24, 18, 12, 6, 0]",True,13
145,15,"[60, 56, 50, 44, 44, 38, 38, 38, 38, 38, 34, 34, 34, 34, 34, 32, 32, 26, 26, 20, 20, 20, 14, 14, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 72, 66, 66, 60, 52, 52, 46, 42, 36, 32, 28, 22, 22, 16, 16, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 86, 82, 76, 68, 68, 62, 58, 52, 46, 40, 36, 34, 24, 20, 14, 10, 10, 10, 10, 10, 10, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 74, 70, 64, 60, 56, 56, 50, 44, 38, 38, 32, 26, 26, 20, 20, 20, 14, 14, 14, 14, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 74, 68, 62, 58, 54, 48, 42, 38, 34, 30, 24, 18, 14, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 82, 76, 70, 66, 60, 52, 48, 40, 34, 28, 22, 22, 16, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 92, 82, 80, 78, 72, 66, 62, 56, 46, 36, 30, 24, 18, 12, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 64, 60, 60, 54, 50, 44, 40, 40, 40, 40, 36, 36, 30, 26, 22, 22, 18, 18, 18, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 90, 80, 70, 64, 56, 50, 44, 36, 30, 24, 18, 12, 6, 0]",True,350
